# 自动扩字器数据（二）：动词 / 形容词 / 虚词 / 数字时间
# 字|类型|部首|emoji|词组
# 动作动词
量|s|里|📏|量,量身高,数量
教|s|攵|👩‍🏫|教,教书,教师
习|s|乙|📚|学习,练习,习惯
练|s|纟|🏋️|练,练习,练字
试|s|讠|🧪|试,考试,尝试
验|s|马|🔬|验,实验,验证
查|s|木|🔍|查,检查,查找
检|s|木|🔍|检,检查,检票
修|s|亻|🔧|修,修理,修改
改|s|己|✏️|改,改变,改正
换|s|扌|🔄|换,交换,换衣
借|s|亻|🤝|借,借书,借用
租|s|禾|🏠|租,租房,租借
赔|s|贝|💸|赔,赔偿,赔钱
赚|s|贝|💰|赚,赚钱,赚取
赢|s|贝|🏆|赢,赢家,输赢
输|s|车|🚚|输,输赢,运输
胜|s|月|🏆|胜,胜利,胜出
败|s|贝|💀|败,失败,败北
争|s|刀|⚔️|争,争论,争取
斗|s|斗|🥊|斗,斗争,奋斗
战|s|戈|⚔️|战,战斗,战士
守|s|宀|🛡️|守,守门,防守
攻|s|攵|⚔️|攻,攻击,进攻
护|s|扌|🛡️|护,保护,护士
救|s|攵|🚑|救,救命,抢救
医|s|匚|⚕️|医生,医院,医治
治|s|氵|⚕️|治,治病,治理
疗|s|疒|⚕️|疗,治疗,疗养
育|s|月|👶|育,养育,教育
生|s|生|🌱|生,生活,生命
死|s|歹|💀|死,死亡,生死
存|s|子|💾|存,存在,保存
亡|s|亠|💀|亡,灭亡,死亡
灭|s|火|🔥|灭,灭火,消灭
息|s|心|😮‍💨|息,休息,消息
休|s|亻|😴|休,休息,休假
停|s|亻|⏸️|停,停止,停车
止|s|止|🛑|止,停止,禁止
续|s|纟|🔁|续,继续,连续
始|s|女|🔛|始,开始,原始
终|s|纟|🔚|终,终于,终点
完|s|宀|✅|完,完成,完全
毕|s|比|✅|毕,毕业,完毕
全|s|入|✅|全,全部,完全
备|s|夂|✅|备,准备,设备
足|s|足|🦶|足,满足,手足
满|s|氵|🔆|满,满意,充满
缺|s|缶|⚠️|缺,缺少,缺点
余|s|人|➕|余,多余,其余
剩|s|刂|🗑️|剩,剩下,剩余
增|s|土|➕|增,增加,增长
减|s|冫|➖|减,减少,减法
加|s|力|➕|加,加法,加油
倍|s|亻|✖️|倍,加倍,倍数
缩|s|纟|🔽|缩,缩小,收缩
张|s|弓|🔛|张,张开,一张
卷|s|卩|🌯|卷,卷起,试卷
伸|s|亻|🙌|伸,伸手,伸展
展|s|尸|🙌|展,展开,展览
舒|s|舍|😌|舒,舒服,舒展
曲|s|曰|🪢|曲,弯曲,歌曲
# 形容词
甜|s|舌|🍬|甜,甜蜜,甜美
酸|s|酉|🍋|酸,酸奶,心酸
苦|s|艹|😣|苦,辛苦,苦味
辣|s|辛|🌶️|辣,辣椒,辛辣
咸|s|口|🧂|咸,咸菜,咸淡
香|s|香|🌸|香,香味,香水
轻|s|车|🪶|轻,轻轻,轻松
重|s|里|🏋️|重,重要,重量
亮|s|亠|💡|亮,明亮,亮点
暗|s|日|🌑|暗,黑暗,暗处
温|s|氵|🌡️|温,温暖,温度
凉|s|冫|🧊|凉,凉快,凉爽
湿|s|氵|💧|湿,潮湿,湿地
圆|s|囗|⚪|圆,团圆,圆形
角|s|角|🔺|角,角落,三角
尖|s|小|🔺|尖,尖尖,笔尖
厚|s|厂|📚|厚,厚厚,厚度
薄|s|艹|📄|薄,薄薄,薄纸
脏|s|月|🤢|脏,脏话,弄脏
净|s|冫|✨|净,干净,净化
齐|s|齐|✅|齐,整齐,齐心
乱|s|乚|😵|乱,乱糟糟,混乱
静|s|青|🤫|静,安静,静止
闹|s|门|🔊|闹,热闹,吵闹
强|s|弓|💪|强,强大,坚强
弱|s|弓|😣|弱,弱小,软弱
肥|s|月|🐷|肥,肥胖,肥料
瘦|s|疒|🦴|瘦,瘦小,消瘦
壮|s|士|💪|壮,强壮,壮大
细|s|纟|🦷|细,细小,细心
粗|s|米|📏|粗,粗壮,粗心
宽|s|宀|↔️|宽,宽敞,宽阔
窄|s|穴|↔️|窄,窄小,窄路
深|s|氵|⬇️|深,深处,深秋
浅|s|氵|⬆️|浅,浅浅,浅水
硬|s|石|🪨|硬,硬化,硬汉
软|s|车|🛏️|软,柔软,软件
脆|s|月|🥖|脆,清脆,脆皮
鲜|s|鱼|🐟|鲜,新鲜,鲜美
丑|s|酉|🤡|丑,丑陋,小丑
善|s|口|😇|善,善良,善心
恶|s|心|😈|恶,凶恶,恶人
假|s|亻|🎭|假,假的,假装
错|s|钅|❌|错,错误,错觉
正|s|止|✅|正,正确,正面
歪|s|不|↗️|歪,歪歪,歪斜
平|s|干|➡️|平,平安,水平
整|s|攵|✅|整,整齐,整个
碎|s|石|🧩|碎,碎片,打碎
单|s|丷|🙋|单,单独,简单
双|s|又|✌️|双,一双,双数
异|s|廾|🔀|异,奇异,异常
怪|s|忄|👻|怪,奇怪,怪物
奇|s|大|✨|奇,奇妙,奇怪
凡|s|几|🙂|凡,平凡,非凡
圣|s|土|⛪|圣,神圣,圣诞
神|s|示|🙏|神,神奇,神仙
妙|s|女|✨|妙,奇妙,妙计
巧|s|工|🛠️|巧,巧妙,巧合
笨|s|竹|🐢|笨,笨拙,笨鸟
聪|s|耳|🧠|聪,聪明,聪慧
愚|s|心|🤡|愚,愚笨,愚公
勤|s|力|🙇|勤,勤劳,勤奋
懒|s|忄|😴|懒,懒惰,懒虫
勇|s|力|🦁|勇,勇敢,勇气
怯|s|忄|😨|怯,怯场,胆怯
# 虚词功能字
把|s|扌|🔑|把,一把,把握
被|s|衤|🛡️|被,被子,被动
让|s|讠|🙇|让,让座,让步
叫|s|口|📣|叫,叫喊,叫声
使|s|亻|🤝|使,使用,使者
令|s|人|📜|令,命令,令牌
得|s|彳|✅|得,得到,得意
着|s|目|👀|着,看着,穿着
过|s|辶|➡️|过,过去,经过
又|s|又|🔁|又,又快,又一次
再|s|冂|🔁|再,再见,再次
更|s|曰|➕|更,更好,更加
最|s|曰|🏆|最,最好,最大
极|s|木|⚡|极,极小,北极
非|s|非|❌|非,非常,是非
莫|s|艹|🚫|莫,莫非,莫大
勿|s|勹|🚫|勿,勿忘,请勿
却|s|卩|↩️|却,冷却,退却
虽|s|虫|😅|虽,虽然,虽说
但|s|亻|😅|但,但是,但凡
因|s|囗|🔗|因,因为,原因
果|s|木|🍎|果,如果,结果
故|s|攵|🔗|故,故事,故乡
所|s|户|🔗|所,所以,所长
以|s|人|🔗|以,以后,可以
及|s|丿|🔗|及,以及,及时
并|s|干|🔗|并,并且,合并
或|s|戈|🔀|或,或者,或许
若|s|艹|🔗|若,如果,若是
如|s|女|🔗|如,如果,如今
似|s|亻|🔗|似,似乎,相似
像|s|亻|🔗|像,好像,画像
比|s|比|⚖️|比,比较,比如
受|s|又|🤝|受,接受,感受
遭|s|辶|💥|遭,遭遇,遭殃
替|s|曰|🔁|替,代替,替身
由|s|田|🔗|由,由于,理由
甲|s|田|1️⃣|甲,甲虫,甲方
申|s|田|🐒|申,申请,申城
才|s|扌|✅|才,才能,才华
已|s|己|✅|已,已经,已然
己|s|己|🙋|己,自己,知己
自|s|自|🙋|自,自己,自由
其|s|八|🔗|其,其中,其实
某|s|木|❓|某,某个,某某
各|s|夂|🔗|各,各种,各自
每|s|母|📅|每,每天,每个
另|s|口|🔀|另,另外,另行
旁|s|方|↔️|旁,旁边,路旁
反|s|又|↩️|反,反对,反而
复|s|夂|🔁|复,复习,复杂
代|s|亻|🔁|代,代表,代替
等|s|竹|⏳|等,等待,等等
待|s|彳|⏳|待,等待,待会
期|s|月|📅|期,期待,日期
盼|s|目|👀|盼,盼望,期盼
希|s|巾|🌟|希,希望,希奇
愿|s|心|🙏|愿,愿望,愿意
肯|s|月|✅|肯,肯定,肯干
敢|s|攵|⚔️|敢,勇敢,敢做
能|s|厶|💪|能,能够,能力
可|s|口|✅|可,可以,可爱
应|s|广|✅|应,应该,应当
该|s|讠|✅|该,应该,该当
当|s|彐|✅|当,当然,当时
须|s|彡|🔗|须,必须,胡须
必|s|心|✅|必,必须,必要
务|s|夂|🙇|务,务必,任务
暂|s|日|⏳|暂,暂时,暂停
永|s|水|♾️|永,永远,永久
恒|s|忄|♾️|恒,永恒,恒心
# 数字时间补充
零|s|雨|0️⃣|零,零分,零件
亿|s|亻|💯|亿,亿万,亿年
兆|s|儿|💯|兆,征兆,兆头
几|s|几|❓|几,几个,几天
许|s|讠|🔢|许,许多,也许
众|s|目|👥|众,群众,观众
群|s|羊|👥|群,一群,群体
串|s|丨|🍢|串,一串,串门
副|s|刂|🔗|副,一副,副手
套|s|大|🎁|套,一套,手套
阵|s|阝|🌬️|阵,一阵,阵地
股|s|月|💨|股,一股,股票
滴|s|氵|💧|滴,一滴,水滴
粒|s|米|🌾|粒,一粒,颗粒
颗|s|页|🌟|颗,一颗,颗粒
块|s|土|🧱|块,一块,块状
片|s|片|🍃|片,一片,叶片
册|s|丿|📚|册,一册,手册
幅|s|巾|🖼️|幅,一幅,幅度
朵|s|几|🌸|朵,一朵,花朵
束|s|木|💐|束,一束,花束
根|s|木|🌿|根,根本,树根
条|s|木|🐍|条,一条,条件
周|s|囗|📅|周,一周,周末
季|s|子|🍂|季,四季,季节
朝|s|月|🌅|朝,朝霞,朝向
夕|s|夕|🌙|夕,夕阳,除夕
昨|s|日|📅|昨,昨天,昨日
岁|s|山|🎂|岁,岁月,岁数
刻|s|刂|⏱️|刻,时刻,立刻
昼|s|尸|☀️|昼,白昼,昼夜
夜|s|夕|🌃|夜,夜晚,夜里
昏|s|日|🌆|昏,黄昏,昏暗
