# 自动扩字器数据：字|类型|部首|emoji|词组1,词组2,词组3
# 类型 p=象形 i=指事 c=会意 s=形声
# 食物饮品
鲸|s|鱼|🐳|鲸鱼,蓝鲸,鲸歌
鲨|s|鱼|🦈|鲨鱼,鲨鳍,鲸鲨
螺|s|虫|🐚|田螺,海螺,螺号
蚕|s|虫|🐛|蚕,春蚕,蚕丝
蝉|p|虫|🐞|蝉,蝉鸣,知了
蜘|s|虫|🕷️|蜘蛛,蜘蛛网,蛛丝
蛛|s|虫|🕷️|蜘蛛,蛛网,蛛丝
蚂|s|虫|🐜|蚂蚁,蚂蟥,蚂蚱
蚱|s|虫|🦗|蚂蚱,蚱蜢,蝗蚱
蝙|s|虫|🦇|蝙蝠,蝙蝠侠,蝙翼
蝠|s|虫|🦇|蝙蝠,蝠翼,红蝠
# 身体
发|s|又|💇|头发,发型,理发
牙|p|牙|🦷|牙齿,牙刷,牙医
舌|p|舌|👅|舌头,舌尖,唇舌
鼻|p|鼻|👃|鼻子,鼻音,鼻孔
眉|p|目|🤨|眉毛,眉心,眉目
脸|p|月|🙂|脸,脸蛋,笑脸
身|s|身|🧍|身体,身边,全身
腰|s|月|🤹|腰,弯腰,山腰
腿|s|月|🦵|腿,大腿,跑腿
脚|s|月|🦶|脚,脚印,脚趾
指|s|扌|🤏|手指,指甲,指导
掌|s|手|🖐️|手掌,掌声,掌心
血|s|血|🩸|血,血型,鲜血
汗|s|氵|💦|汗,汗水,出汗
皮|s|皮|🟫|皮,皮肤,树皮
骨|s|骨|🦴|骨头,骨气,骨骼
嘴|s|口|👄|嘴巴,嘴角,张嘴
唇|s|口|👄|嘴唇,唇膏,红唇
颈|s|页|🦒|颈部,颈椎,长颈
肩|s|户|🤷|肩膀,肩负,肩头
臂|s|月|💪|手臂,臂力,左臂
肚|s|月|🤰|肚子,肚脐,肚皮
膝|s|月|🦵|膝盖,护膝,屈膝
泪|s|氵|😢|眼泪,泪水,流泪
涕|s|水|🤧|鼻涕,涕泪,感激涕零
# 器物衣物
钟|s|钅|⏰|钟表,钟声,闹钟
镜|s|钅|🪞|镜子,眼镜,放大镜
杯|s|木|🥛|杯子,水杯,奖杯
碗|s|石|🥣|碗,饭碗,碗筷
筷|s|竹|🥢|筷子,碗筷,竹筷
勺|s|勹|🥄|勺子,汤勺,饭勺
刀|p|刀|🔪|刀,小刀,菜刀
锅|s|钅|🍲|锅,铁锅,火锅
盆|s|皿|🪣|盆,脸盆,花盆
桶|s|木|🪣|水桶,木桶,铁桶
布|s|巾|🧵|布,花布,棉布
线|s|纟|🧵|线,毛线,电线
针|s|钅|🪡|针,针线,打针
绳|s|纟|🪢|绳子,绳索,跳绳
锁|s|钅|🔒|锁,锁门,密码锁
钥|s|钅|🔑|钥匙,锁钥,密钥
箱|s|竹|📦|箱子,纸箱,邮箱
包|s|勹|🎒|书包,包子,背包
袋|s|衣|🛍️|袋子,口袋,一袋
瓶|s|瓦|🍶|瓶子,花瓶,奶瓶
罐|s|缶|🏺|罐子,罐头,瓦罐
裤|s|衤|👖|裤子,短裤,长裤
袜|s|衤|🧦|袜子,袜底,船袜
巾|s|巾|🧣|毛巾,头巾,围巾
扇|s|户|🪭|扇子,电扇,扇风
窗|s|穴|🪟|窗户,窗台,纱窗
墙|s|土|🧱|墙,围墙,城墙
壁|s|土|🏰|墙壁,壁画,绝壁
瓦|s|瓦|🧱|瓦,瓦片,砖瓦
钉|s|钅|📌|钉子,图钉,螺丝钉
锤|s|钅|🔨|锤子,铁锤,木锤
斧|s|斤|🪓|斧头,斧子,斧正
# 场所建筑
城|s|土|🏙️|城市,城墙,古城
村|s|木|🏡|村庄,村子,农村
街|s|彳|🛣️|街道,逛街,大街
市|s|巾|🏪|市场,城市,集市
店|s|广|🏬|商店,书店,饭店
场|s|土|🏟️|操场,广场,场地
园|s|囗|🏞️|公园,花园,校园
院|s|阝|🏥|院子,医院,学院
馆|s|饣|🏛️|宾馆,图书馆,饭馆
校|s|木|🏫|学校,校长,校园
室|s|宀|🚪|教室,寝室,入室
堂|s|土|🏛️|礼堂,课堂,天堂
庙|s|广|⛩️|庙,寺庙,庙会
塔|s|土|🗼|塔,宝塔,灯塔
亭|s|亠|⛲|亭子,凉亭,亭台
道|s|辶|🛤️|道路,街道,知道
站|s|立|🚉|车站,站台,站立
厕|s|厂|🚻|厕所,如厕,公厕
厂|s|厂|🏭|工厂,厂房,厂长
库|s|广|🏚️|仓库,库房,水库
仓|s|人|🏚️|仓库,粮仓,仓促
# 自然水流天气
江|s|氵|🌊|长江,江水,江湖
河|s|氵|🌊|黄河,河流,小河
湖|s|氵|🏞️|湖水,湖泊,太湖
海|s|氵|🌊|大海,海边,海洋
溪|s|氵|🏞️|小溪,溪流,溪水
泉|s|水|⛲|泉水,温泉,喷泉
沙|s|水|🏖️|沙子,沙滩,风沙
泥|s|土|🟤|泥,泥土,水泥
冰|s|冫|🧊|冰,冰块,结冰
雪|s|雨|❄️|雪花,下雪,雪人
雷|s|雨|⛈️|雷,打雷,雷声
露|s|雨|💧|露水,露珠,显露
霜|s|雨|🌨️|霜,冰霜,风霜
霞|s|雨|🌅|彩霞,晚霞,朝霞
虹|s|虫|🌈|彩虹,虹桥,长虹
阴|s|阝|☁️|阴天,阴影,阴沉
晴|s|日|☀️|晴天,晴朗,放晴
浪|s|氵|🌊|浪花,海浪,波浪
波|s|氵|🌊|波纹,波浪,水波
潮|s|氵|🌊|潮水,潮汕,退潮
岸|s|山|🏖️|岸边,海岸,两岸
岛|s|山|🏝️|小岛,海岛,岛屿
岩|s|山|🪨|岩石,岩洞,岩浆
崖|s|山|⛰️|悬崖,山崖,崖壁
# 植物
苗|s|艹|🌱|禾苗,树苗,火苗
麦|s|麦|🌾|小麦,麦子,麦田
稻|s|禾|🌾|水稻,稻田,稻草
谷|s|谷|🌾|山谷,稻谷,五谷
棉|s|木|🌿|棉花,棉衣,棉布
麻|s|麻|🌿|麻,麻绳,芝麻
桑|s|木|🌿|桑树,桑叶,蚕桑
菊|s|艹|🌼|菊花,秋菊,赏菊
梅|s|木|🌸|梅花,梅树,杨梅
兰|s|艹|🌸|兰花,玉兰,吊兰
荷|s|艹|🌸|荷花,荷叶,荷塘
莲|s|艹|🌸|莲花,莲子,莲藕
柏|s|木|🌲|柏树,松柏,柏油
松|s|木|🌲|松树,轻松,放松
柳|s|木|🌿|柳树,柳枝,垂柳
杏|s|木|🌿|杏树,杏花,杏仁
枣|s|木|🌿|枣树,红枣,枣子
橙|s|木|🍊|橙子,橙汁,脐橙
莓|s|艹|🍓|草莓,蓝莓,莓果
萝|s|艹|🥕|萝卜,菠萝,藤萝
卜|s|卜|🥕|萝卜,胡萝卜,占卜
茄|s|艹|🍆|茄子,番茄,茄盒
葱|s|艹|🧅|葱,大葱,葱绿
蒜|s|艹|🧄|蒜,大蒜,蒜头
姜|s|女|🫚|姜,生姜,姜汤
芽|s|艹|🌱|发芽,嫩芽,豆芽
笋|s|竹|🎋|竹笋,春笋,笋干
藤|s|艹|🌿|藤,藤蔓,藤椅
枝|s|木|🌿|树枝,枝叶,枝条
茎|s|艹|🌿|茎,根茎,块茎
葵|s|艹|🌻|向日葵,葵花,葵园
芙|s|艹|🌸|芙蓉,芙蕖,出水芙蓉
蓉|s|艹|🌸|芙蓉,蓉城,豆蓉
茉|s|艹|🌸|茉莉,茉莉花,茉香
莉|s|艹|🌸|茉莉,茉莉花,莉香
